ID,Cant_Picos_Detectados,Cant_Ventanas_Probadas,SIGMA,W_STEP,W_RANGE,RESOLUTION,HEIGHT,IoU_mejor_ventana,NAC_mejor_ventana,ELM_mejor_ventana
WCOMP01.fits,62,240,50,100,1900,300,0.025,0.7801972045952429,0.0604817848709518,0.10827168732627071
WCOMP02.fits,61,240,50,100,1900,300,0.025,0.7804723305177643,0.05983044277777813,0.11053197449243847
WCOMP03.fits,65,240,50,100,1900,300,0.025,0.7803759641013125,0.05869867615038324,0.11006042545711889
WCOMP04.fits,64,240,50,100,1900,300,0.025,0.7803782712892711,0.059384095448460614,0.10969619358162046
WCOMP05.fits,64,240,50,100,1900,300,0.025,0.7803823378218346,0.059443086392596586,0.10970380306913168
WCOMP06.fits,63,240,50,100,1900,300,0.025,0.7804015534821289,0.05969954266402018,0.10539259024947387
WCOMP07.fits,63,240,50,100,1900,300,0.025,0.7802685330561905,0.05910862221062546,0.11156975646641272
WCOMP08.fits,64,240,50,100,1900,300,0.025,0.7802720853188633,0.060095774496018425,0.10599862896021837
WCOMP09.fits,64,240,50,100,1900,300,0.025,0.7802727321823147,0.060338950016818986,0.10608719412818933
WCOMP10.fits,62,240,50,100,1900,300,0.025,0.7803172647481456,0.06092747384663881,0.11228164128481545
WCOMP11.fits,62,240,50,100,1900,300,0.025,0.7802996616098967,0.05993373194509166,0.10852938063459898
WCOMP12.fits,66,240,50,100,1900,300,0.025,0.7803727684894565,0.05935659035861725,0.10964849532157184
WCOMP13.fits,64,240,50,100,1900,300,0.025,0.7802938583844192,0.06186272206593046,0.10944067686973515
WCOMP14.fits,64,240,50,100,1900,300,0.025,0.780286300801437,0.06187313156973195,0.1094543193484694
WCOMP15.fits,62,240,50,100,1900,300,0.025,0.7802744187002018,0.061225318811175475,0.11172651436306605
WCOMP16.fits,61,240,50,100,1900,300,0.025,0.7803169538733753,0.06059729629374019,0.11312477636750498
WCOMP17.fits,62,240,50,100,1900,300,0.025,0.7804530235309027,0.059766568199283415,0.11199688745815986
WCOMP18.fits,62,240,50,100,1900,300,0.025,0.7804965217476877,0.059965802740556406,0.11187299932416486
WCOMP19.fits,63,240,50,100,1900,300,0.025,0.7803352748636261,0.05903808956317007,0.11169852889998619
WCOMP20_A.fits,62,240,50,100,1900,300,0.025,0.7803279597945814,0.059790238483499604,0.10793421916254468
WCOMP20_A.fits,62,240,50,100,1900,300,0.025,0.7803279597945814,0.059790238483499604,0.10793421916254468
WCOMP21.fits,62,240,50,100,1900,300,0.025,0.7804471350249788,0.0596992818205004,0.10909372719045889
WCOMP22.fits,61,240,50,100,1900,300,0.025,0.7804596303797902,0.05932001017870667,0.10771514278234214
WCOMP23.fits,60,240,50,100,1900,300,0.025,0.7804512353044548,0.059149978747658455,0.10839725019370924
WCOMP24.fits,63,240,50,100,1900,300,0.025,0.7803205504407953,0.060623271146106675,0.11011827164863415
WCOMP25.fits,60,240,50,100,1900,300,0.025,0.7805064534012567,0.06104372559459991,0.11117437869902246
WCOMP26.fits,59,240,50,100,1900,300,0.025,0.7803441836682056,0.059133845132140074,0.11833456167167831
WCOMP27.fits,64,240,50,100,1900,300,0.025,0.7803040526785873,0.0588897035947479,0.11010461144702162
WCOMP28.fits,63,240,50,100,1900,300,0.025,0.7803037060499508,0.05903905306548711,0.1122466635923323
WCOMP29.fits,63,240,50,100,1900,300,0.025,0.7801982354942271,0.059789157995716526,0.10551130676240461
WCOMP30.fits,63,240,50,100,1900,300,0.025,0.7801982354942271,0.059789157995716526,0.10551130676240461
WCOMP31.fits,63,240,50,100,1900,300,0.025,0.7801604016830319,0.06017968723891181,0.11343632434298567
