File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana
WCOMP01.fits,846,25,1900,23.46863768153561,0.0
WCOMP02.fits,846,25,1900,23.111426451063735,0.0
WCOMP03.fits,846,25,1900,24.47795355926194,0.0
WCOMP04.fits,846,25,1900,23.96544634775075,0.0
WCOMP05.fits,846,25,1900,23.970054821331196,0.0
WCOMP06.fits,846,25,1900,22.53476114760874,0.0
WCOMP07.fits,846,25,1900,23.91030763329963,0.0
WCOMP08.fits,846,25,1900,23.388304401892135,0.0
WCOMP09.fits,846,25,1900,23.404535578135444,0.0
WCOMP10.fits,846,25,1900,23.363163960658568,0.0
WCOMP11.fits,846,25,1900,23.79540788149132,0.0
WCOMP12.fits,846,25,1900,24.43289980470825,0.0
WCOMP13.fits,846,25,1900,23.474250735392317,0.0
WCOMP14.fits,846,25,1900,23.483416082451342,0.0
WCOMP15.fits,846,25,1900,23.834592834061773,0.0
WCOMP16.fits,846,25,1900,23.604401507456615,0.0
WCOMP17.fits,846,25,1900,23.476986686744887,0.0
WCOMP18.fits,846,25,1900,23.46818340857687,0.0
WCOMP19.fits,846,25,1900,23.368656925002348,0.0
WCOMP20_A.fits,846,25,1900,22.84846308671672,0.0
WCOMP20_A.fits,846,25,1900,22.84846308671672,0.0
WCOMP21.fits,846,25,1900,23.346142193848692,0.0
WCOMP22.fits,846,25,1900,23.2074334418325,0.0
WCOMP23.fits,846,25,1900,23.11196301286038,0.0
WCOMP24.fits,846,25,1900,24.113439093835133,0.0
WCOMP25.fits,846,25,1900,22.829324945086512,0.0
WCOMP26.fits,846,25,1900,24.13888523448349,0.0
WCOMP27.fits,846,25,1900,24.112999433100384,0.0
WCOMP28.fits,846,25,1900,24.20238411100985,0.0
WCOMP29.fits,846,25,1900,23.957296079604617,0.0
WCOMP30.fits,846,25,1900,23.957296079604617,0.0
WCOMP31.fits,846,25,1900,24.18187669075214,0.0
